name,Solver,time_limit,energy,num_satellites
3_7,Pyomo IPOpt initial state,30,148.25589909303926,3
3_7,Pyomo IPOpt initial state,60,148.2558990930393,3
3_8,Pyomo IPOpt initial state,30,136.39113992409207,3
3_8,Pyomo IPOpt initial state,60,136.39113992409207,3
3_9,Pyomo IPOpt initial state,30,102.4630015547936,3
3_9,Pyomo IPOpt initial state,60,102.4630015547936,3
3_10,Pyomo IPOpt initial state,30,98.00856308466912,3
3_10,Pyomo IPOpt initial state,60,98.00856308466912,3
5_0,Pyomo IPOpt initial state,30,104.598503288259,5
5_0,Pyomo IPOpt initial state,60,104.59850328825898,5
5_1,Pyomo IPOpt initial state,30,97.63669478470752,5
5_1,Pyomo IPOpt initial state,60,97.63669478470756,5
5_2,Pyomo IPOpt initial state,30,60.22468720433347,5
5_2,Pyomo IPOpt initial state,60,60.22468720433347,5
5_3,Pyomo IPOpt initial state,30,50.56639627638372,5
5_3,Pyomo IPOpt initial state,60,50.56639627638372,5
5_4,Pyomo IPOpt initial state,30,97.89572547795,5
5_4,Pyomo IPOpt initial state,60,97.89572547795,5
5_5,Pyomo IPOpt initial state,30,69.2499121664031,5
5_5,Pyomo IPOpt initial state,60,69.24991216640309,5
5_6,Pyomo IPOpt initial state,30,137.74905813635587,5
5_6,Pyomo IPOpt initial state,60,137.74905813635584,5
5_7,Pyomo IPOpt initial state,30,38.64804831818482,5
5_7,Pyomo IPOpt initial state,60,38.64804831818447,5
5_8,Pyomo IPOpt initial state,30,150.06948042380364,5
5_8,Pyomo IPOpt initial state,60,150.06948042380367,5
5_9,Pyomo IPOpt initial state,30,87.50012027790537,5
5_9,Pyomo IPOpt initial state,60,87.50012027790537,5
5_10,Pyomo IPOpt initial state,30,79.40571456710391,5
5_10,Pyomo IPOpt initial state,60,79.40571456710391,5
7_0,Pyomo IPOpt initial state,30,101.60206323097066,7
7_0,Pyomo IPOpt initial state,60,101.60206323097064,7
7_1,Pyomo IPOpt initial state,30,56.86617928372692,7
7_1,Pyomo IPOpt initial state,60,56.86617928372666,7
7_2,Pyomo IPOpt initial state,30,51.44269038487986,7
7_2,Pyomo IPOpt initial state,60,51.44269038487887,7
7_3,Pyomo IPOpt initial state,30,53.97257827112736,7
7_3,Pyomo IPOpt initial state,60,53.97257827112736,7
7_4,Pyomo IPOpt initial state,30,52.78322375886482,7
7_4,Pyomo IPOpt initial state,60,52.78322375886482,7
7_5,Pyomo IPOpt initial state,30,32.62191636694185,7
7_5,Pyomo IPOpt initial state,60,32.621916366941846,7
7_6,Pyomo IPOpt initial state,30,57.58942728777188,7
7_6,Pyomo IPOpt initial state,60,57.58942728777188,7
7_7,Pyomo IPOpt initial state,30,41.682840196186056,7
7_7,Pyomo IPOpt initial state,60,41.682840196186056,7
7_8,Pyomo IPOpt initial state,30,54.87727770376026,7
7_8,Pyomo IPOpt initial state,60,54.877277703760285,7
7_9,Pyomo IPOpt initial state,30,50.723762411206536,7
7_9,Pyomo IPOpt initial state,60,50.72376241120699,7
7_10,Pyomo IPOpt initial state,30,66.08947093813674,7
7_10,Pyomo IPOpt initial state,60,66.08947093813673,7
