name,time_limit,energy,solver
914834335_200_20,50.0,11954.0,NL Solver
810642687_200_20,50.0,12021.0,NL Solver
1019331795_200_20,50.0,11860.0,NL Solver
2056065863_200_20,50.0,11809.0,NL Solver
1342855162_200_20,50.0,12093.0,NL Solver
1325809384_200_20,50.0,12021.0,NL Solver
1988803007_200_20,50.0,11927.0,NL Solver
765656702_200_20,50.0,11979.0,NL Solver
1328042058_50_5,150.0,2724.0,NL Solver
200382020_50_5,150.0,2834.0,NL Solver
496319842_50_5,150.0,2621.0,NL Solver
1203030903_50_5,150.0,2751.0,NL Solver
1730708564_50_5,150.0,2863.0,NL Solver
450926852_50_5,150.0,2829.0,NL Solver
1303135678_50_5,150.0,2725.0,NL Solver
1273398721_50_5,150.0,2683.0,NL Solver
587288402_50_5,150.0,2555.0,NL Solver
248421594_50_5,150.0,2782.0,NL Solver
1958948863_50_10,150.0,3035.0,NL Solver
575633267_50_10,150.0,2911.0,NL Solver
655816003_50_10,150.0,2877.0,NL Solver
1977864101_50_10,150.0,3070.0,NL Solver
93805469_50_10,150.0,3006.0,NL Solver
1803345551_50_10,150.0,3016.0,NL Solver
49612559_50_10,150.0,3124.0,NL Solver
1899802599_50_10,150.0,3039.0,NL Solver
2013025619_50_10,150.0,2918.0,NL Solver
578962478_50_10,150.0,3078.0,NL Solver
479340445_20_20,150.0,2297.0,NL Solver
268827376_20_20,150.0,2099.0,NL Solver
1958948863_20_20,150.0,2331.0,NL Solver
918272953_20_20,150.0,2225.0,NL Solver
555010963_20_20,150.0,2291.0,NL Solver
2010851491_20_20,150.0,2229.0,NL Solver
1519833303_20_20,150.0,2278.0,NL Solver
1748670931_20_20,150.0,2200.0,NL Solver
1923497586_20_20,150.0,2242.0,NL Solver
1829909967_20_20,150.0,2178.0,NL Solver
450926852_100_20,150.0,6433.0,NL Solver
1462772409_100_20,150.0,6412.0,NL Solver
1021685265_100_20,150.0,6467.0,NL Solver
83696007_100_20,150.0,6448.0,NL Solver
508154254_100_20,150.0,6507.0,NL Solver
1861070898_100_20,150.0,6591.0,NL Solver
26482542_100_20,150.0,6509.0,NL Solver
444956424_100_20,150.0,6666.0,NL Solver
2115448041_100_20,150.0,6482.0,NL Solver
118254244_100_20,150.0,6626.0,NL Solver
1368624604_500_20,150.0,27387.0,NL Solver
450181436_500_20,150.0,27901.0,NL Solver
1927888393_500_20,150.0,27645.0,NL Solver
1759567256_500_20,150.0,27687.0,NL Solver
606425239_500_20,150.0,27548.0,NL Solver
19268348_500_20,150.0,27765.0,NL Solver
1298201670_500_20,150.0,27433.0,NL Solver
2041736264_500_20,150.0,27728.0,NL Solver
379756761_500_20,150.0,27375.0,NL Solver
28837162_500_20,150.0,27690.0,NL Solver
587595453_20_10,150.0,1582.0,NL Solver
1401007982_20_10,150.0,1659.0,NL Solver
873136276_20_10,150.0,1496.0,NL Solver
268827376_20_10,150.0,1377.0,NL Solver
1634173168_20_10,150.0,1419.0,NL Solver
691823909_20_10,150.0,1397.0,NL Solver
73807235_20_10,150.0,1484.0,NL Solver
1273398721_20_10,150.0,1538.0,NL Solver
2065119309_20_10,150.0,1593.0,NL Solver
1672900551_20_10,150.0,1591.0,NL Solver
471503978_200_10,150.0,10953.0,NL Solver
1215892992_200_10,150.0,10586.0,NL Solver
135346136_200_10,150.0,11017.0,NL Solver
1602504050_200_10,150.0,10954.0,NL Solver
160037322_200_10,150.0,10587.0,NL Solver
551454346_200_10,150.0,10449.0,NL Solver
519485142_200_10,150.0,10973.0,NL Solver
383947510_200_10,150.0,10819.0,NL Solver
1968171878_200_10,150.0,10531.0,NL Solver
540872513_200_10,150.0,10814.0,NL Solver
1539989115_50_20,150.0,3927.0,NL Solver
691823909_50_20,150.0,3756.0,NL Solver
655816003_50_20,150.0,3740.0,NL Solver
1315102446_50_20,150.0,3787.0,NL Solver
1949668355_50_20,150.0,3689.0,NL Solver
1923497586_50_20,150.0,3766.0,NL Solver
1805594913_50_20,150.0,3789.0,NL Solver
1861070898_50_20,150.0,3783.0,NL Solver
715643788_50_20,150.0,3813.0,NL Solver
464843328_50_20,150.0,3828.0,NL Solver
873654221_20_5,150.0,1278.0,NL Solver
379008056_20_5,150.0,1359.0,NL Solver
1866992158_20_5,150.0,1081.0,NL Solver
216771124_20_5,150.0,1293.0,NL Solver
495070989_20_5,150.0,1235.0,NL Solver
402959317_20_5,150.0,1195.0,NL Solver
1369363414_20_5,150.0,1239.0,NL Solver
2021925980_20_5,150.0,1206.0,NL Solver
573109518_20_5,150.0,1230.0,NL Solver
88325120_20_5,150.0,1108.0,NL Solver
896678084_100_5,150.0,5493.0,NL Solver
1179439976_100_5,150.0,5283.0,NL Solver
1122278347_100_5,150.0,5175.0,NL Solver
416756875_100_5,150.0,5021.0,NL Solver
267829958_100_5,150.0,5252.0,NL Solver
1835213917_100_5,150.0,5135.0,NL Solver
1328833962_100_5,150.0,5246.0,NL Solver
1418570761_100_5,150.0,5098.0,NL Solver
161033112_100_5,150.0,5454.0,NL Solver
304212574_100_5,150.0,5328.0,NL Solver
1539989115_100_10,150.0,5801.0,NL Solver
655816003_100_10,150.0,5376.0,NL Solver
960914243_100_10,150.0,5691.0,NL Solver
1915696806_100_10,150.0,5844.0,NL Solver
2013025619_100_10,150.0,5518.0,NL Solver
1168140026_100_10,150.0,5312.0,NL Solver
1923497586_100_10,150.0,5633.0,NL Solver
167698528_100_10,150.0,5694.0,NL Solver
1528387973_100_10,150.0,5957.0,NL Solver
993794175_100_10,150.0,5881.0,NL Solver
2013025619_200_20,150.0,11671.0,NL Solver
475051709_200_20,150.0,11813.0,NL Solver
914834335_200_20,150.0,11794.0,NL Solver
810642687_200_20,150.0,11793.0,NL Solver
1019331795_200_20,150.0,11753.0,NL Solver
2056065863_200_20,150.0,11681.0,NL Solver
1342855162_200_20,150.0,11914.0,NL Solver
1325809384_200_20,150.0,11862.0,NL Solver
1988803007_200_20,150.0,11748.0,NL Solver
765656702_200_20,150.0,11859.0,NL Solver
1328042058_50_5,300.0,2724.0,NL Solver
200382020_50_5,300.0,2834.0,NL Solver
496319842_50_5,300.0,2621.0,NL Solver
1203030903_50_5,300.0,2751.0,NL Solver
1730708564_50_5,300.0,2863.0,NL Solver
450926852_50_5,300.0,2829.0,NL Solver
1303135678_50_5,300.0,2725.0,NL Solver
1273398721_50_5,300.0,2683.0,NL Solver
587288402_50_5,300.0,2554.0,NL Solver
248421594_50_5,300.0,2782.0,NL Solver
1958948863_50_10,300.0,3025.0,NL Solver
575633267_50_10,300.0,2911.0,NL Solver
655816003_50_10,300.0,2869.0,NL Solver
1977864101_50_10,300.0,3063.0,NL Solver
93805469_50_10,300.0,3010.0,NL Solver
1803345551_50_10,300.0,3009.0,NL Solver
49612559_50_10,300.0,3124.0,NL Solver
1899802599_50_10,300.0,3042.0,NL Solver
2013025619_50_10,300.0,2905.0,NL Solver
578962478_50_10,300.0,3091.0,NL Solver
479340445_20_20,300.0,2297.0,NL Solver
268827376_20_20,300.0,2099.0,NL Solver
1958948863_20_20,300.0,2326.0,NL Solver
918272953_20_20,300.0,2223.0,NL Solver
555010963_20_20,300.0,2291.0,NL Solver
2010851491_20_20,300.0,2226.0,NL Solver
1519833303_20_20,300.0,2273.0,NL Solver
1748670931_20_20,300.0,2200.0,NL Solver
1923497586_20_20,300.0,2239.0,NL Solver
1829909967_20_20,300.0,2178.0,NL Solver
450926852_100_20,300.0,6432.0,NL Solver
1462772409_100_20,300.0,6361.0,NL Solver
1021685265_100_20,300.0,6465.0,NL Solver
83696007_100_20,300.0,6397.0,NL Solver
508154254_100_20,300.0,6476.0,NL Solver
1861070898_100_20,300.0,6541.0,NL Solver
26482542_100_20,300.0,6465.0,NL Solver
444956424_100_20,300.0,6636.0,NL Solver
2115448041_100_20,300.0,6471.0,NL Solver
118254244_100_20,300.0,6622.0,NL Solver
1368624604_500_20,300.0,27232.0,NL Solver
450181436_500_20,300.0,27595.0,NL Solver
1927888393_500_20,300.0,27489.0,NL Solver
1759567256_500_20,300.0,27380.0,NL Solver
606425239_500_20,300.0,27261.0,NL Solver
19268348_500_20,300.0,27579.0,NL Solver
1298201670_500_20,300.0,27256.0,NL Solver
2041736264_500_20,300.0,27547.0,NL Solver
379756761_500_20,300.0,27085.0,NL Solver
28837162_500_20,300.0,27473.0,NL Solver
587595453_20_10,300.0,1582.0,NL Solver
1401007982_20_10,300.0,1660.0,NL Solver
873136276_20_10,300.0,1496.0,NL Solver
